3	PLOIDY	CEP10	CEP4	8	COX2	DBC2	MYC	CCND1	CDH1	p53	HER2	ZNF217
102	190
2	1	2	2	2	2	2	4	2	3	2	1
2	1	2	4	2	3	2	2	2	3	2	1
2	1	2	4	2	3	3	2	0	4	2	1
2	1	2	4	2	3	3	2	1	3	2	1
2	1	2	4	2	3	4	2	1	3	2	1
2	2	2	1	2	2	2	1	2	2	2	1
2	2	2	1	2	2	3	2	2	2	2	1
2	2	2	1	2	3	3	2	1	3	2	1
2	2	2	2	0	2	3	1	2	2	2	1
2	2	2	2	0	2	5	2	1	2	2	1
2	2	2	2	1	1	2	2	1	2	2	1
2	2	2	2	1	2	2	1	1	3	2	2
2	2	2	2	1	2	2	1	2	2	2	2
2	2	2	2	1	2	2	2	1	3	2	1
2	2	2	2	1	2	2	2	2	2	2	4
2	2	2	2	1	2	2	2	3	2	2	1
2	2	2	2	1	2	3	1	1	2	2	1
2	2	2	2	1	2	3	1	1	3	2	1
2	2	2	2	1	2	3	2	1	2	2	1
2	2	2	2	1	2	3	2	2	2	2	1
2	2	2	2	1	2	3	2	2	3	2	1
2	2	2	2	1	2	4	1	1	2	2	1
2	2	2	2	1	2	4	1	3	2	2	1
2	2	2	2	2	1	2	1	2	2	2	1
2	2	2	2	2	2	2	1	1	3	2	1
2	2	2	2	2	2	2	1	1	4	2	1
2	2	2	2	2	2	2	1	2	2	2	2
2	2	2	2	2	2	2	1	2	3	2	1
2	2	2	2	2	2	2	2	1	2	2	3
2	2	2	2	2	2	2	2	2	1	2	1
2	2	2	2	2	2	2	2	2	3	2	5
2	2	2	2	2	2	3	1	2	2	2	3
2	2	2	2	2	2	3	2	2	2	2	6
2	2	2	2	2	2	3	2	2	2	3	1
2	2	2	2	2	2	4	1	1	3	2	1
2	2	2	2	2	3	3	1	2	2	2	1
2	2	2	2	2	3	4	2	1	2	2	1
2	2	2	3	0	2	4	1	1	3	2	1
2	2	2	3	1	1	2	1	1	3	2	1
2	2	2	3	1	2	2	1	1	2	2	1
2	2	2	3	1	2	2	1	1	3	2	3
2	2	2	3	1	2	3	1	0	2	2	1
2	2	2	3	1	2	3	1	1	3	2	7
2	2	2	3	1	2	3	1	2	2	2	1
2	2	2	3	1	2	3	1	2	3	2	1
2	2	2	3	1	2	3	2	1	3	2	3
2	2	2	3	1	2	3	2	2	3	2	1
2	2	2	3	1	2	4	1	1	3	2	3
2	2	2	3	1	2	5	2	1	3	2	1
2	2	2	3	2	2	2	0	2	2	2	1
2	2	2	3	2	2	2	1	1	3	2	2
2	2	2	3	2	2	3	2	1	3	2	1
2	2	2	3	2	2	3	2	1	3	3	1
2	2	2	3	2	2	4	2	1	2	2	1
2	2	2	3	2	3	2	1	1	3	2	1
2	2	2	3	2	3	2	1	2	3	2	1
2	2	2	3	2	3	2	2	1	3	2	1
2	2	2	3	2	3	3	2	1	3	2	6
2	2	2	3	2	3	3	2	2	2	2	1
2	2	2	4	1	3	3	1	1	3	2	2
2	2	2	4	1	3	3	2	1	3	1	1
2	2	2	4	1	3	3	2	1	3	2	1
2	2	2	4	1	3	3	2	2	2	2	1
2	2	2	4	1	3	4	2	1	3	2	1
2	2	2	4	2	3	2	1	1	3	2	1
2	2	2	4	2	3	2	2	1	2	2	2
2	2	2	4	2	3	2	2	1	3	2	8
2	2	2	4	2	3	2	2	2	2	2	1
2	2	2	4	2	3	3	1	1	3	2	5
2	2	2	4	2	3	3	2	1	2	2	3
2	2	2	4	2	3	3	2	1	3	2	20
2	2	2	4	2	3	3	2	2	3	2	2
2	2	2	4	2	3	3	3	1	3	2	1
2	2	2	4	2	3	4	0	1	2	2	1
2	2	2	4	2	3	4	0	1	3	2	1
2	2	2	4	2	3	4	1	1	3	2	2
2	2	2	4	2	3	4	1	2	2	1	1
2	2	2	4	2	3	4	2	1	2	2	1
2	2	2	4	2	3	4	2	1	3	2	12
2	2	2	4	2	3	4	2	1	4	2	1
2	2	2	4	2	3	4	2	2	2	2	1
2	2	2	4	2	3	4	2	2	3	2	1
2	2	2	4	2	3	4	2	2	4	2	1
2	2	2	4	2	3	5	1	2	3	2	1
2	2	2	4	2	3	5	2	1	3	2	5
2	2	2	4	4	3	4	7	1	3	2	1
2	2	2	5	1	3	4	1	1	3	2	1
2	2	2	5	2	3	2	2	1	3	2	1
2	2	2	5	2	3	2	2	2	2	2	1
2	2	2	5	2	3	3	2	2	3	2	1
2	2	2	5	2	4	2	2	2	2	2	1
2	2	3	3	3	2	4	1	1	4	2	1
3	2	3	4	3	3	3	2	1	3	2	1
2	2	4	8	4	6	3	3	2	5	3	1
2	3	2	2	2	2	2	1	2	2	2	1
2	3	2	2	2	2	2	2	2	2	2	1
2	3	2	3	1	2	3	2	1	3	2	1
2	3	2	3	1	2	4	1	1	3	2	1
2	3	2	4	2	3	3	2	1	4	2	1
2	3	2	8	2	6	5	3	2	5	2	1
3	3	3	4	3	6	4	3	2	4	2	1
2	4	2	4	2	2	5	2	2	3	2	1
