"chrom1" "chrom2" "chrom3" "gene1" "gene2" "gene3" "gene4" "gene5" "gene6" "gene7" "gene8" "cellnum"
2 2 2 1 1 1 2 1 2 2 3 1
2 2 2 1 2 1 2 2 2 2 2 1
2 2 2 1 2 2 2 1 1 2 2 1
2 2 2 1 2 2 2 1 2 2 1 1
2 2 2 1 2 2 2 2 2 2 1 1
2 2 2 1 2 2 2 2 2 2 2 1
2 2 2 1 2 2 2 2 2 2 3 1
2 2 2 2 0 2 2 2 2 1 1 1
2 2 4 2 1 2 1 1 2 2 2 1
2 2 2 2 1 2 2 1 1 1 1 1
2 2 2 2 1 2 2 1 1 2 2 1
2 2 2 2 1 2 2 1 2 2 1 1
4 4 7 2 1 2 2 1 2 3 2 1
2 2 2 2 1 2 2 2 1 2 2 1
2 2 2 2 1 2 2 2 2 0 2 1
2 2 2 2 1 2 2 2 2 2 2 3
2 2 2 2 2 0 2 2 2 2 2 1
2 2 4 2 2 1 2 2 2 2 1 1
2 2 2 2 2 1 2 2 2 2 2 4
2 2 2 2 2 2 1 1 1 3 2 1
2 2 2 2 2 2 1 2 1 2 2 1
2 2 2 2 2 2 1 2 2 2 0 1
2 2 2 2 2 2 1 2 2 2 2 2
2 2 2 2 2 2 2 0 2 2 2 2
2 2 2 2 2 2 2 1 1 2 2 8
2 2 2 2 2 2 2 1 1 3 2 1
2 2 2 2 2 2 2 1 2 2 2 7
2 2 2 2 2 2 2 1 2 3 2 1
2 2 2 2 2 2 2 1 3 3 2 1
2 2 2 2 2 2 2 2 1 1 2 1
2 2 2 2 2 2 2 2 1 2 0 1
2 2 2 2 2 2 2 2 1 2 2 6
2 2 2 2 2 2 2 2 1 3 2 1
2 2 2 2 2 2 2 2 2 1 2 2
2 2 2 2 2 2 2 2 2 2 1 1
4 4 5 2 2 2 2 2 2 2 2 4
2 2 2 2 2 2 2 2 2 2 3 4
2 2 2 2 2 2 2 2 2 3 1 1
2 2 2 2 2 2 2 2 2 3 2 2
2 2 2 2 2 2 2 2 3 3 2 1
2 2 2 2 2 2 3 1 2 1 2 1
2 2 2 2 2 2 3 1 2 2 2 1
2 2 2 2 2 2 3 2 1 2 4 1
2 2 2 2 2 2 3 2 2 1 2 1
2 2 2 2 2 2 3 2 2 2 2 5
2 2 2 2 2 2 4 2 2 2 3 1
2 2 2 2 2 2 4 2 2 2 4 1
2 2 2 3 1 0 0 1 2 2 2 1
2 2 2 3 1 1 2 1 2 2 2 1
2 2 2 3 1 2 2 1 1 2 2 2
2 2 2 3 1 2 2 1 2 2 2 5
2 2 2 3 2 0 2 1 2 2 2 1
2 2 2 3 2 1 2 1 1 3 2 1
2 2 2 3 2 1 2 1 2 2 2 1
2 2 2 3 2 2 1 1 2 2 2 1
2 2 2 3 2 2 2 0 1 2 2 1
2 2 2 3 2 2 2 1 1 1 2 1
2 2 2 3 2 2 2 1 1 2 1 1
2 2 2 3 2 2 2 1 1 2 2 12
2 2 2 3 2 2 2 1 1 2 3 2
2 2 2 3 2 2 2 1 2 1 2 2
2 2 2 3 2 2 2 1 2 2 1 1
2 2 2 3 2 2 2 1 2 2 2 24
2 2 2 3 2 2 2 1 2 2 4 1
2 2 2 3 2 2 2 1 3 3 2 2
3 3 4 3 2 2 2 2 2 2 2 7
2 2 2 3 2 2 3 1 1 2 2 1
2 2 2 3 2 2 3 1 1 2 4 1
2 2 2 3 2 2 3 1 2 1 2 1
2 2 2 3 2 2 3 1 2 2 2 3
2 2 2 3 2 2 3 1 2 2 3 1
2 2 2 3 2 2 3 1 2 3 3 1
2 2 2 3 2 2 3 1 4 4 2 1
2 2 2 3 2 2 3 2 2 1 2 1
2 2 2 3 2 2 3 2 2 2 2 1
2 2 2 3 2 2 4 1 2 2 2 3
2 2 2 3 2 3 2 0 2 2 2 1
2 2 2 3 2 3 2 1 1 2 2 2
3 3 4 3 2 3 2 1 2 2 2 1
2 2 2 3 2 3 3 2 2 2 2 1
2 2 2 4 2 1 2 1 2 2 2 1
3 3 4 4 2 2 3 1 1 3 2 1
2 2 2 4 2 4 2 1 3 3 2 1
4 4 4 4 2 4 4 2 3 4 4 1
2 2 2 7 2 4 5 2 2 4 3 1
